Episode 1, Reward: -4.96, Avg Reward: -4.96
Episode 2, Reward: -80.10, Avg Reward: -42.53
Episode 3, Reward: -90.44, Avg Reward: -58.50
Episode 4, Reward: -98.78, Avg Reward: -68.57
Episode 5, Reward: -99.35, Avg Reward: -74.73
Episode 6, Reward: -22.52, Avg Reward: -66.03
Episode 7, Reward: -60.85, Avg Reward: -65.29
Episode 8, Reward: -66.25, Avg Reward: -65.41
Episode 9, Reward: -75.53, Avg Reward: -66.53
Episode 10, Reward: 86.68, Avg Reward: -51.21
Episode 11, Reward: -89.86, Avg Reward: -54.72
Episode 12, Reward: 29.68, Avg Reward: -47.69
Episode 13, Reward: -82.13, Avg Reward: -50.34
Episode 14, Reward: -24.23, Avg Reward: -48.47
Episode 15, Reward: -76.77, Avg Reward: -50.36
Episode 16, Reward: -21.39, Avg Reward: -48.55
Episode 17, Reward: -35.30, Avg Reward: -47.77
Episode 18, Reward: 42.10, Avg Reward: -42.78
Episode 19, Reward: -39.34, Avg Reward: -42.60
Episode 20, Reward: 43.44, Avg Reward: -38.29
Episode 21, Reward: -7.28, Avg Reward: -36.82
Episode 22, Reward: 85.63, Avg Reward: -31.25
Episode 23, Reward: 4.83, Avg Reward: -29.68
Episode 24, Reward: 0.17, Avg Reward: -28.44
Episode 25, Reward: 54.58, Avg Reward: -25.12
Episode 26, Reward: 10.16, Avg Reward: -23.76
Episode 27, Reward: -1.28, Avg Reward: -22.93
Episode 28, Reward: -5.30, Avg Reward: -22.30
Episode 29, Reward: 45.01, Avg Reward: -19.98
Episode 30, Reward: 429.10, Avg Reward: -5.01
Episode 31, Reward: 471.99, Avg Reward: 10.38
Episode 32, Reward: 311.35, Avg Reward: 19.78
Episode 33, Reward: 535.45, Avg Reward: 35.41
Episode 34, Reward: 410.12, Avg Reward: 46.43
Episode 35, Reward: 415.81, Avg Reward: 56.98
Episode 36, Reward: 586.10, Avg Reward: 71.68
Episode 37, Reward: -99.69, Avg Reward: 67.05
Episode 38, Reward: 502.92, Avg Reward: 78.52
Episode 39, Reward: -99.89, Avg Reward: 73.95
Episode 40, Reward: -99.87, Avg Reward: 69.60
